table_name,district,hashtags,source
bus_tram_stops,Charlottenburg-Wilmersdorf,"#low-coverage,#high-quality,#stop-density-low,#limited-reach,#localized-service,#concentrated-service",sultan-bus_tram_stops-llm
bus_tram_stops,Friedrichshain-Kreuzberg,"#low-coverage,#high-quality-service,#stop-sparse,#neighborhood-limited,#potential-expansion",sultan-bus_tram_stops-llm
bus_tram_stops,Lichtenberg,"#low-stops-per-capita,#low-coverage,#high-service-quality,#limited-neighborhood-access,#dense-stop-concentration",sultan-bus_tram_stops-llm
bus_tram_stops,Marzahn-Hellersdorf,"#low-coverage,#high-quality-service,#sparse-stops,#limited-reach,#few-neighborhoods",sultan-bus_tram_stops-llm
bus_tram_stops,Mitte,"#low-coverage,#high-quality,#few-neighborhoods,#adequate-stops",sultan-bus_tram_stops-llm
bus_tram_stops,Neukölln,"#low-coverage-low-density,#high-quality-service,#limited-neighborhoods,#inadequate-access",sultan-bus_tram_stops-llm
bus_tram_stops,Pankow,"#low-density-coverage,#high-service-quality,#limited-reach,#stop-rich",sultan-bus_tram_stops-llm
bus_tram_stops,Reinickendorf,"#low-coverage,#high-quality-service,#stop-distribution-issue,#neighborhood-access-gap",sultan-bus_tram_stops-llm
bus_tram_stops,Spandau,"#low-coverage-but-high-quality,#poor-per-capita-access,#limited-neighborhood-reach,#high-service-standard",sultan-bus_tram_stops-llm
bus_tram_stops,Steglitz-Zehlendorf,"#low-coverage,#high-quality-service,#stop-limited,#neighborhood-focused,#sparse-accessibility",sultan-bus_tram_stops-llm
bus_tram_stops,Tempelhof-Schöneberg,"#low-coverage,#high-quality,#limited-reach,#few-neighborhoods,#stop-density-issue,#service-excellence",sultan-bus_tram_stops-llm
bus_tram_stops,Treptow-Köpenick,"#low-coverage-high-quality,#high-service-per-capita,#stop-heavy-neighborhoods,#314-stops-10-neighborhoods",sultan-bus_tram_stops-llm
bus_tram_stops,Charlottenburg-Wilmersdorf,,sultan-bus_tram_stops-react
bus_tram_stops,Friedrichshain-Kreuzberg,#has-outliers-1,sultan-bus_tram_stops-react
bus_tram_stops,Lichtenberg,#good-coverage,sultan-bus_tram_stops-react
bus_tram_stops,Marzahn-Hellersdorf,#well-served,sultan-bus_tram_stops-react
bus_tram_stops,Mitte,,sultan-bus_tram_stops-react
bus_tram_stops,Neukölln,,sultan-bus_tram_stops-react
bus_tram_stops,Pankow,#good-coverage,sultan-bus_tram_stops-react
bus_tram_stops,Reinickendorf,#well-served,sultan-bus_tram_stops-react
bus_tram_stops,Spandau,#well-served,sultan-bus_tram_stops-react
bus_tram_stops,Steglitz-Zehlendorf,,sultan-bus_tram_stops-react
bus_tram_stops,Tempelhof-Schöneberg,,sultan-bus_tram_stops-react
bus_tram_stops,Treptow-Köpenick,#good-coverage,sultan-bus_tram_stops-react
bus_tram_stops,Charlottenburg-Wilmersdorf,,sultan-bus_tram_stops-rule_based
bus_tram_stops,Friedrichshain-Kreuzberg,#well-served,sultan-bus_tram_stops-rule_based
bus_tram_stops,Lichtenberg,#good-coverage,sultan-bus_tram_stops-rule_based
bus_tram_stops,Marzahn-Hellersdorf,#well-served,sultan-bus_tram_stops-rule_based
bus_tram_stops,Mitte,#good-coverage,sultan-bus_tram_stops-rule_based
bus_tram_stops,Neukölln,,sultan-bus_tram_stops-rule_based
bus_tram_stops,Pankow,#good-coverage,sultan-bus_tram_stops-rule_based
bus_tram_stops,Reinickendorf,"#well-served,#good-coverage",sultan-bus_tram_stops-rule_based
bus_tram_stops,Spandau,#well-served,sultan-bus_tram_stops-rule_based
bus_tram_stops,Steglitz-Zehlendorf,#well-served,sultan-bus_tram_stops-rule_based
bus_tram_stops,Tempelhof-Schöneberg,#good-coverage,sultan-bus_tram_stops-rule_based
bus_tram_stops,Treptow-Köpenick,"#well-served,#good-coverage",sultan-bus_tram_stops-rule_based
crime_statistics,Lichtenberg,"#low-crime,#high-volume,#safe-district,#statistical-anomaly,#zero-per-capita",sultan-crime_statistics-llm
crime_statistics,Friedrichshain-Kreuzberg,"#low-crime,#high-incident,#large-dataset,#data-heavy,#statistically-insignificant,#outlier-data",sultan-crime_statistics-llm
crime_statistics,Neukölln,"#low-crime,#zero-crime-per-capita,#high-incident-volume",sultan-crime_statistics-llm
crime_statistics,Tempelhof-Schöneberg,"#low-crime,#high-incident-volume,#statistically-safe,#virtually-crime-free",sultan-crime_statistics-llm
crime_statistics,Marzahn-Hellersdorf,"#low-crime,#high-volume,#crime-data,#statistical-district,#unusual-pattern,#data-analysis",sultan-crime_statistics-llm
crime_statistics,Charlottenburg-Wilmersdorf,"#low-crime,#high-volume,#data-rich,#statistical-anomaly,#unusual-data,#crime-analysis",sultan-crime_statistics-llm
crime_statistics,Mitte,"#low-crime,#high-volume,#low-per-capita-crime,#eventful-district,#statistically-safe,#numerous-incidents",sultan-crime_statistics-llm
crime_statistics,Pankow,"#low-crime,#high-volume,#statistical-anomaly,#data-driven,#incident-focused,#reporting-heavy",sultan-crime_statistics-llm
crime_statistics,Reinickendorf,"#low-crime-rate,#high-incident-volume,#statistically-safe,#data-heavy",sultan-crime_statistics-llm
crime_statistics,Steglitz-Zehlendorf,"#low-crime,#high-incidence,#statistical-anomaly,#data-driven-analysis,#crime-reporting,#large-dataset",sultan-crime_statistics-llm
crime_statistics,Treptow-Köpenick,"#low-crime,#zero-crime,#high-incident-volume",sultan-crime_statistics-llm
crime_statistics,Spandau,"#low-crime,#high-incident-rate,#unusually-low-per-capita,#statistically-anomalous",sultan-crime_statistics-llm
crime_statistics,Lichtenberg,"#low-variability,#medium-variability",sultan-crime_statistics-react
crime_statistics,Friedrichshain-Kreuzberg,"#well-served,#low-variability",sultan-crime_statistics-react
crime_statistics,Neukölln,"#well-served,#medium-variability",sultan-crime_statistics-react
crime_statistics,Tempelhof-Schöneberg,#medium-variability,sultan-crime_statistics-react
crime_statistics,Marzahn-Hellersdorf,"#well-served,#medium-variability",sultan-crime_statistics-react
crime_statistics,Charlottenburg-Wilmersdorf,#well-served,sultan-crime_statistics-react
crime_statistics,Mitte,#wide-value-range,sultan-crime_statistics-react
crime_statistics,Pankow,#wide-value-range,sultan-crime_statistics-react
crime_statistics,Reinickendorf,"#well-served,#medium-variability",sultan-crime_statistics-react
crime_statistics,Steglitz-Zehlendorf,#low-variability,sultan-crime_statistics-react
crime_statistics,Treptow-Köpenick,"#well-served,#low-variability,#wide-value-range",sultan-crime_statistics-react
crime_statistics,Spandau,"#well-served,#wide-value-range,#medium-variability",sultan-crime_statistics-react
crime_statistics,Lichtenberg,,sultan-crime_statistics-rule_based
crime_statistics,Friedrichshain-Kreuzberg,#well-served,sultan-crime_statistics-rule_based
crime_statistics,Neukölln,,sultan-crime_statistics-rule_based
crime_statistics,Tempelhof-Schöneberg,,sultan-crime_statistics-rule_based
crime_statistics,Marzahn-Hellersdorf,#well-served,sultan-crime_statistics-rule_based
crime_statistics,Charlottenburg-Wilmersdorf,,sultan-crime_statistics-rule_based
crime_statistics,Mitte,,sultan-crime_statistics-rule_based
crime_statistics,Pankow,,sultan-crime_statistics-rule_based
crime_statistics,Reinickendorf,#well-served,sultan-crime_statistics-rule_based
crime_statistics,Steglitz-Zehlendorf,#well-served,sultan-crime_statistics-rule_based
crime_statistics,Treptow-Köpenick,#well-served,sultan-crime_statistics-rule_based
crime_statistics,Spandau,#well-served,sultan-crime_statistics-rule_based
dental_offices,Pankow,"#low-dental-office-density,#high-office-count,#underserved-district",sultan-dental_offices-llm
dental_offices,Reinickendorf,"#high-density-offices,#low-per-capita-density,#abundant-dental-services,#region-well-served,#numerous-clinics",sultan-dental_offices-llm
dental_offices,Steglitz-Zehlendorf,"#low-dental-access,#high-office-concentration,#urban-density,#service-availability,#dental-shortage,#geographic-distribution",sultan-dental_offices-llm
dental_offices,Friedrichshain-Kreuzberg,"#underserved-district,#high-office-count,#low-access-dentistry,#dental-desert,#high-density-offices,#limited-dental-availability",sultan-dental_offices-llm
dental_offices,Neukölln,"#low-dental-access,#high-office-count,#rural-district,#underserved-population,#urban-surplus",sultan-dental_offices-llm
dental_offices,Marzahn-Hellersdorf,"#low-dental-access,#high-office-density,#781-offices",sultan-dental_offices-llm
dental_offices,Lichtenberg,"#high-office-count,#zero-per-capita,#surplus-offices,#high-density-dental",sultan-dental_offices-llm
dental_offices,Treptow-Köpenick,"#low-density-dental,#high-office-count,#underserved-dental,#781-offices,#sparse-dental",sultan-dental_offices-llm
dental_offices,Tempelhof-Schöneberg,"#low-dentist-density,#high-office-count,#underserved-district",sultan-dental_offices-llm
dental_offices,Spandau,"#underserved-dental,#high-office-density,#resource-rich-dental,#dental-hub",sultan-dental_offices-llm
dental_offices,Mitte,"#low-dental-access,#high-office-density,#underserved-district,#abundant-dentists",sultan-dental_offices-llm
dental_offices,Charlottenburg-Wilmersdorf,"#underserved-district,#high-office-density,#large-office-number",sultan-dental_offices-llm
dental_offices,Pankow,#underserved,sultan-dental_offices-react
